,Unnamed: 0,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
521,521,ocean city,39.2776,-74.5746,78.03,85,1,5.01,US,1661731027
522,522,bhimunipatnam,17.8833,83.4333,80.11,84,43,1.57,IN,1661731032
523,523,mao,39.8885,4.2658,75.76,83,0,5.75,ES,1661731034
524,524,port hedland,-20.3167,118.5667,62.65,45,0,6.91,AU,1661731037
525,525,severo-yeniseyskiy,60.3725,93.0408,43.23,98,100,9.75,RU,1661731039
526,526,senekal,-28.3197,27.6208,53.67,34,30,7.07,ZA,1661731041
527,527,gimli,50.6336,-96.9907,75.22,57,78,9.22,CA,1661731044
528,528,aloleng,16.1307,119.7824,82.76,77,87,4.94,PH,1661731046
529,529,antofagasta,-23.65,-70.4,56.48,75,83,4.29,CL,1661730895
530,530,lucapa,-8.4192,20.7447,70.2,70,68,3.2,AO,1661731051
531,531,samarai,-10.6167,150.6667,80.13,82,96,14.2,PG,1661731053
532,532,storforshei,66.4043,14.5233,48.65,93,100,4.61,NO,1661731055
533,533,sile,41.1754,29.6133,74.07,78,0,1.01,TR,1661731058
534,534,beringovskiy,63.05,179.3167,57.31,64,99,5.79,RU,1661731060
535,535,nuuk,64.1835,-51.7216,43.92,75,100,11.81,GL,1661731062
536,536,meadow lake,34.8014,-106.5436,89.4,24,23,12.12,US,1661731065
537,537,sihora,23.4833,80.1167,74.88,93,100,3.53,IN,1661731067
538,538,nikki,9.9401,3.2108,70.54,96,84,4.29,BJ,1661731070
539,539,kaeo,-35.1,173.7833,58.46,72,63,11.81,NZ,1661731072
540,540,bida,9.0833,6.0167,73.24,94,100,1.72,NG,1661731076
541,541,vyartsilya,62.1764,30.693,53.11,95,89,4.83,RU,1661731079
542,542,sistranda,63.7256,8.834,49.96,74,84,7.7,NO,1661731081
543,543,barabai,-2.5833,115.3833,75.78,92,100,1.79,ID,1661731083
544,544,mponela,-13.5319,33.7401,60.78,49,3,5.75,MW,1661731086
545,545,selma,36.5708,-119.6121,99.34,25,0,6.91,US,1661731056
546,546,alghero,40.5589,8.3181,69.89,94,0,1.14,IT,1661731044
547,547,ilebo,-4.3167,20.5833,71.08,92,69,1.97,CD,1661731093
548,548,nagato,34.3833,131.2,78.42,68,66,8.16,JP,1661731095
549,549,okhotsk,59.3833,143.3,52.68,89,100,7.99,RU,1661731097
550,550,ambanja,-13.6833,48.45,66.52,74,13,3.11,MG,1661731100
551,551,kalemie,-5.9475,29.1947,73.89,57,24,5.79,CD,1661731102
552,552,darhan,49.4867,105.9228,47.35,90,100,18.23,MN,1661731104
553,553,aswan,24.0934,32.907,92.5,22,0,6.91,EG,1661730890
554,554,sao felix do xingu,-6.6447,-51.995,80.13,33,86,1.5,BR,1661731024
555,555,misratah,32.3754,15.0925,80.78,69,0,11.1,LY,1661731111
